publication_year,topic,publication_count
2015,biodegradable polymer synthesis and properties,21
2015,Catalytic Processes in Materials Science,20
2015,Colorectal Cancer Screening and Detection,20
2015,Diabetes Treatment and Management,20
2015,Digital Marketing and Social Media,20
2015,Land Use and Ecosystem Services,20
2015,Nutritional Studies and Diet,20
2015,Quantum Information and Cryptography,20
2015,Sustainable Supply Chain Management,20
2015,Technology Adoption and User Behaviour,20
2015,Additive Manufacturing Materials and Processes,19
2015,Cancer Cells and Metastasis,19
2015,Dementia and Cognitive Impairment Research,19
2015,Machine Learning in Materials Science,19
2015,Mitochondrial Function and Pathology,19
2015,Pharmaceutical and Antibiotic Environmental Impacts,19
2015,Statistical Methods in Clinical Trials,19
2015,Antibiotic Resistance in Bacteria,18
2015,Atmospheric and Environmental Gas Dynamics,18
2015,Bacteriophages and microbial interactions,18
2015,CO2 Reduction Techniques and Catalysts,18
2015,Genetic Mapping and Diversity in Plants and Animals,18
2015,Genetic factors in colorectal cancer,18
2015,Gold and Silver Nanoparticles Synthesis and Applications,18
2015,"IL-33, ST2, and ILC Pathways",18
2015,Machine Learning in Bioinformatics,18
2015,Probiotics and Fermented Foods,18
2015,Adipose Tissue and Metabolism,17
2015,Atmospheric chemistry and aerosols,17
2015,Atrial Fibrillation Management and Outcomes,17
2015,Breast Cancer Treatment Studies,17
2015,Cardiac Imaging and Diagnostics,17
2015,Circular RNAs in diseases,17
2015,Climate Change and Health Impacts,17
2015,EEG and Brain-Computer Interfaces,17
2015,Genetic diversity and population structure,17
2015,IoT and Edge/Fog Computing,17
2015,Melanoma and MAPK Pathways,17
2015,Nanoparticle-Based Drug Delivery,17
2015,Plant-Microbe Interactions and Immunity,17
2015,Robotics and Sensor-Based Localization,17
2015,Acute Myocardial Infarction Research,16
2015,Anomaly Detection Techniques and Applications,16
2015,Autism Spectrum Disorder Research,16
2015,Behavioral Health and Interventions,16
2015,Cardiovascular Function and Risk Factors,16
2015,Catalytic C–H Functionalization Methods,16
2015,Copper-based nanomaterials and applications,16
2015,Ferroptosis and cancer prognosis,16
2015,Gastrointestinal motility and disorders,16
2015,Mental Health Treatment and Access,16
2015,Nanomaterials for catalytic reactions,16
2015,Nanoplatforms for cancer theranostics,16
2015,Neural and Behavioral Psychology Studies,16
2015,Organic Electronics and Photovoltaics,16
2015,Photoreceptor and optogenetics research,16
2015,Plant Stress Responses and Tolerance,16
2015,RNA regulation and disease,16
2015,Sleep and related disorders,16
2015,Social Media and Politics,16
2015,Astronomy and Astrophysical Research,15
2015,Biofuel production and bioconversion,15
2015,Cardiac Arrest and Resuscitation,15
2015,Cell Image Analysis Techniques,15
2015,Corporate Finance and Governance,15
2015,Customer Service Quality and Loyalty,15
2015,"Galaxies: Formation, Evolution, Phenomena",15
2015,Glioma Diagnosis and Treatment,15
2015,Global Cancer Incidence and Screening,15
2015,Legume Nitrogen Fixing Symbiosis,15
2015,Mobile Health and mHealth Applications,15
2015,Monetary Policy and Economic Impact,15
2015,Plant Water Relations and Carbon Dynamics,15
2015,Pluripotent Stem Cells Research,15
2015,Prostate Cancer Diagnosis and Treatment,15
2015,Schizophrenia research and treatment,15
2015,"Stellar, planetary, and galactic studies",15
2015,Stress Responses and Cortisol,15
2015,Supramolecular Chemistry and Complexes,15
2015,TiO2 Photocatalysis and Solar Cells,15
2015,interferon and immune responses,15
2015,Advanced Proteomics Techniques and Applications,14
2015,Bacterial Genetics and Biotechnology,14
2015,Bone Tissue Engineering Materials,14
2015,Child Nutrition and Water Access,14
2015,Child and Adolescent Psychosocial and Emotional Development,14
2015,Chronic Lymphocytic Leukemia Research,14
2015,Corporate Social Responsibility Reporting,14
2015,Electrospun Nanofibers in Biomedical Applications,14
2015,Endoplasmic Reticulum Stress and Disease,14
2015,Evaluation and Performance Assessment,14
2015,"Genomics, phytochemicals, and oxidative stress",14
2015,Graphene and Nanomaterials Applications,14
2015,Hepatitis B Virus Studies,14
2015,Membrane Separation Technologies,14
2015,Metamaterials and Metasurfaces Applications,14
2015,Microbial Natural Products and Biosynthesis,14
2015,Neural Networks and Applications,14
2015,Organic Light-Emitting Diodes Research,14
2015,PARP inhibition in cancer therapy,14
2015,Pancreatic function and diabetes,14
2015,Photosynthetic Processes and Mechanisms,14
2015,Quantum and electron transport phenomena,14
2015,Receptor Mechanisms and Signaling,14
2015,Statistical Methods and Bayesian Inference,14
2015,Urban Heat Island Mitigation,14
2015,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",13
2015,Biomedical Text Mining and Ontologies,13
2015,Colorectal Cancer Treatments and Studies,13
2015,Energy and Environment Impacts,13
2015,Face and Expression Recognition,13
2015,Genetic and phenotypic traits in livestock,13
2015,Genomic variations and chromosomal abnormalities,13
2015,Heavy metals in environment,13
2015,Image Retrieval and Classification Techniques,13
2015,Ionic liquids properties and applications,13
2015,Lung Cancer Diagnosis and Treatment,13
2015,Market Dynamics and Volatility,13
2015,Meteorological Phenomena and Simulations,13
2015,Microgrid Control and Optimization,13
2015,Neuroendocrine regulation and behavior,13
2015,Neuroscience and Neural Engineering,13
2015,Pancreatic and Hepatic Oncology Research,13
2015,Parkinson's Disease Mechanisms and Treatments,13
2015,Phagocytosis and Immune Regulation,13
2015,Phytochemicals and Antioxidant Activities,13
2015,Prostate Cancer Treatment and Research,13
2015,Qualitative Research Methods and Applications,13
2015,Supramolecular Self-Assembly in Materials,13
2015,Ubiquitin and proteasome pathways,13
2015,Urban Green Space and Health,13
2015,Advanced Text Analysis Techniques,12
2015,BRCA gene mutations in cancer,12
2015,Big Data and Business Intelligence,12
2015,Blood Pressure and Hypertension Studies,12
2015,"Cancer, Lipids, and Metabolism",12
2015,Cancer-related Molecular Pathways,12
2015,Cardiac Valve Diseases and Treatments,12
2015,Catalysis for Biomass Conversion,12
2015,"Conservation, Biodiversity, and Resource Management",12
2015,Crystallography and molecular interactions,12
2015,Cutaneous Melanoma Detection and Management,12
2015,DNA Repair Mechanisms,12
2015,Delphi Technique in Research,12
2015,Dietary Effects on Health,12
2015,"Energy, Environment, Economic Growth",12
2015,Environmental Impact and Sustainability,12
2015,Financial Markets and Investment Strategies,12
2015,Gene Regulatory Network Analysis,12
2015,Hepatitis C virus research,12
2015,Image Enhancement Techniques,12
2015,Innovative Microfluidic and Catalytic Techniques Innovation,12
2015,Manufacturing Process and Optimization,12
2015,Marine and coastal ecosystems,12
2015,"Metabolism, Diabetes, and Cancer",12
2015,Metaheuristic Optimization Algorithms Research,12
2015,Neurotransmitter Receptor Influence on Behavior,12
2015,"Neutrophil, Myeloperoxidase and Oxidative Mechanisms",12
2015,Respiratory Support and Mechanisms,12
2015,Tissue Engineering and Regenerative Medicine,12
2015,Venous Thromboembolism Diagnosis and Management,12
2015,scientometrics and bibliometrics research,12
2015,Acute Ischemic Stroke Management,11
2015,Advanced Antenna and Metasurface Technologies,11
2015,Advanced Causal Inference Techniques,11
2015,Advanced Chemical Physics Studies,11
2015,Advanced MIMO Systems Optimization,11
2015,Advanced Multi-Objective Optimization Algorithms,11
2015,Advanced Nanomaterials in Catalysis,11
2015,Advanced Neuroimaging Techniques and Applications,11
2015,Advanced Wireless Communication Technologies,11
2015,Ammonia Synthesis and Nitrogen Reduction,11
2015,Antibiotic Use and Resistance,11
2015,Antioxidant Activity and Oxidative Stress,11
2015,Asthma and respiratory diseases,11
2015,Catalysis and Hydrodesulfurization Studies,11
2015,Catalysis and Oxidation Reactions,11
2015,Cerebrovascular and Carotid Artery Diseases,11
2015,Climate Change Policy and Economics,11
2015,Cloud Computing and Resource Management,11
2015,Complex Network Analysis Techniques,11
2015,Effects and risks of endocrine disrupting chemicals,11
2015,"Energy, Environment, and Transportation Policies",11
2015,Essential Oils and Antimicrobial Activity,11
2015,Face recognition and analysis,11
2015,"Genetics, Aging, and Longevity in Model Organisms",11
2015,Global Maternal and Child Health,11
2015,Inflammatory Bowel Disease,11
2015,Machine Learning and Data Classification,11
2015,Mass Spectrometry Techniques and Applications,11
2015,Memory and Neural Mechanisms,11
2015,Molecular Biology Techniques and Applications,11
2015,Molecular Junctions and Nanostructures,11
2015,Mosquito-borne diseases and control,11
2015,Neonatal Respiratory Health Research,11
2015,Nutrition and Health in Aging,11
2015,Obstructive Sleep Apnea Research,11
2015,Plant Parasitism and Resistance,11
2015,Political Economy and Marxism,11
2015,Renal and related cancers,11
2015,Retinal Diseases and Treatments,11
2015,Smart Grid Energy Management,11
2015,Soil erosion and sediment transport,11
2015,Stroke Rehabilitation and Recovery,11
2015,Trace Elements in Health,11
2015,Wound Healing and Treatments,11
2015,X-ray Diffraction in Crystallography,11
2015,"Adipokines, Inflammation, and Metabolic Diseases",10
2015,Advanced Graph Neural Networks,10
2015,Advanced Materials and Mechanics,10
2015,Advanced Statistical Methods and Models,10
2015,Advanced oxidation water treatment,10
2015,Alcohol Consumption and Health Effects,10
2015,Asymmetric Hydrogenation and Catalysis,10
2015,Bariatric Surgery and Outcomes,10
2015,"Birth, Development, and Health",10
2015,Cancer Risks and Factors,10
2015,Cancer-related gene regulation,10
2015,Chronic Kidney Disease and Diabetes,10
2015,Climate change impacts on agriculture,10
2015,Cryospheric studies and observations,10
2015,Diabetes and associated disorders,10
2015,Enzyme Structure and Function,10
2015,Ferroelectric and Negative Capacitance Devices,10
2015,Flood Risk Assessment and Management,10
2015,Free Radicals and Antioxidants,10
2015,Geology and Paleoclimatology Research,10
2015,Global Energy and Sustainability Research,10
2015,Hepatocellular Carcinoma Treatment and Prognosis,10
2015,Hybrid Renewable Energy Systems,10
2015,Hydrology and Watershed Management Studies,10
2015,Immune responses and vaccinations,10
2015,Infective Endocarditis Diagnosis and Management,10
2015,Innovation and Knowledge Management,10
2015,Innovation and Socioeconomic Development,10
2015,Lipoproteins and Cardiovascular Health,10
2015,Liver Disease and Transplantation,10
2015,Lung Cancer Research Studies,10
2015,Machine Learning and Algorithms,10
2015,Micro and Nano Robotics,10
2015,Microscopic Colitis,10
2015,Molecular Sensors and Ion Detection,10
2015,Multiple Myeloma Research and Treatments,10
2015,Neurogenesis and neuroplasticity mechanisms,10
2015,Neurological disorders and treatments,10
2015,Pain Management and Opioid Use,10
2015,Particle physics theoretical and experimental studies,10
2015,Plant responses to elevated CO2,10
2015,Renal cell carcinoma treatment,10
2015,Rheumatoid Arthritis Research and Therapies,10
2015,Sepsis Diagnosis and Treatment,10
2015,Social and Intergroup Psychology,10
2015,Soil and Water Nutrient Dynamics,10
2015,Spectroscopy and Quantum Chemical Studies,10
2015,Speech and Audio Processing,10
2015,Supply Chain Resilience and Risk Management,10
2015,Surface Modification and Superhydrophobicity,10
2015,Viral Infections and Vectors,10
2015,Virus-based gene therapy research,10
2015,Visual Attention and Saliency Detection,10
2015,Workplace Health and Well-being,10
2015,Acute Kidney Injury Research,9
2015,Adsorption and biosorption for pollutant removal,9
2015,Advanced Image Processing Techniques,9
2015,"Auditing, Earnings Management, Governance",9
2015,Bacterial Identification and Susceptibility Testing,9
2015,Blockchain Technology Applications and Security,9
2015,Building Energy and Comfort Optimization,9
2015,Carbon and Quantum Dots Applications,9
2015,Chemical Synthesis and Analysis,9
2015,Child Development and Digital Technology,9
2015,Chronic Disease Management Strategies,9
2015,Circadian rhythm and melatonin,9
2015,Complex Systems and Time Series Analysis,9
2015,Concrete and Cement Materials Research,9
2015,Context-Aware Activity Recognition Systems,9
2015,Data Mining Algorithms and Applications,9
2015,"Diet, Metabolism, and Disease",9
2015,Eating Disorders and Behaviors,9
2015,Environmental Education and Sustainability,9
2015,Ferroelectric and Piezoelectric Materials,9
2015,Fire effects on ecosystems,9
2015,Gaussian Processes and Bayesian Inference,9
2015,"Genetics, Bioinformatics, and Biomedical Research",9
2015,Geochemistry and Geologic Mapping,9
2015,"Hydrogels: synthesis, properties, applications",9
2015,Hydrology and Drought Analysis,9
2015,Image Processing Techniques and Applications,9
2015,Infrastructure Resilience and Vulnerability Analysis,9
2015,Innovations in Concrete and Construction Materials,9
2015,Innovative Approaches in Technology and Social Development,9
2015,Innovative concrete reinforcement materials,9
2015,Modular Robots and Swarm Intelligence,9
2015,Musculoskeletal pain and rehabilitation,9
2015,Music and Audio Processing,9
2015,Mycorrhizal Fungi and Plant Interactions,9
2015,Nanocluster Synthesis and Applications,9
2015,Opioid Use Disorder Treatment,9
2015,Oral microbiology and periodontitis research,9
2015,Ovarian cancer diagnosis and treatment,9
2015,Physical Activity and Health,9
2015,Plant Virus Research Studies,9
2015,Plasmonic and Surface Plasmon Research,9
2015,Polymer composites and self-healing,9
2015,Psychological Well-being and Life Satisfaction,9
2015,Qualitative Research Methods and Ethics,9
2015,Quantum Computing Algorithms and Architecture,9
2015,Quantum many-body systems,9
2015,Recommender Systems and Techniques,9
2015,Sirtuins and Resveratrol in Medicine,9
2015,Substance Abuse Treatment and Outcomes,9
2015,Sustainability and Climate Change Governance,9
2015,Synthesis and Catalytic Reactions,9
2015,"Telomeres, Telomerase, and Senescence",9
2015,Text and Document Classification Technologies,9
2015,Transportation and Mobility Innovations,9
2015,Traumatic Brain Injury and Neurovascular Disturbances,9
2015,Advanced Breast Cancer Therapies,8
2015,Advanced Condensed Matter Physics,8
2015,Advanced Electron Microscopy Techniques and Applications,8
2015,Advanced MRI Techniques and Applications,8
2015,Advanced Thermodynamics and Statistical Mechanics,8
2015,Astro and Planetary Science,8
2015,Astrophysics and Star Formation Studies,8
2015,Biochemical and Molecular Research,8
2015,Biosensors and Analytical Detection,8
2015,Bipolar Disorder and Treatment,8
2015,Business Strategy and Innovation,8
2015,Carbon dioxide utilization in catalysis,8
2015,Catalytic Cross-Coupling Reactions,8
2015,Cell death mechanisms and regulation,8
2015,Cellular Mechanics and Interactions,8
2015,Cervical Cancer and HPV Research,8
2015,Chronic Obstructive Pulmonary Disease (COPD) Research,8
2015,Colorectal Cancer Surgical Treatments,8
2015,Colorectal and Anal Carcinomas,8
2015,Consumer Behavior in Brand Consumption and Identification,8
2015,Cultural Differences and Values,8
2015,Diabetes Management and Research,8
2015,Educational Games and Gamification,8
2015,Electronic and Structural Properties of Oxides,8
2015,Energy Harvesting in Wireless Networks,8
2015,Evolutionary Algorithms and Applications,8
2015,Generative Adversarial Networks and Image Synthesis,8
2015,Genetics and Neurodevelopmental Disorders,8
2015,Global Public Health Policies and Epidemiology,8
2015,"Gout, Hyperuricemia, Uric Acid",8
2015,HIV/AIDS drug development and treatment,8
2015,Healthcare professionals’ stress and burnout,8
2015,High Entropy Alloys Studies,8
2015,Image and Video Quality Assessment,8
2015,Insect and Arachnid Ecology and Behavior,8
2015,Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,8
2015,Iron Metabolism and Disorders,8
2015,Iron oxide chemistry and applications,8
2015,Job Satisfaction and Organizational Behavior,8
2015,Lanthanide and Transition Metal Complexes,8
2015,Lignin and Wood Chemistry,8
2015,Lipid Membrane Structure and Behavior,8
2015,Luminescence Properties of Advanced Materials,8
2015,Magnetic properties of thin films,8
2015,Microfluidic and Bio-sensing Technologies,8
2015,Monoclonal and Polyclonal Antibodies Research,8
2015,Muscle activation and electromyography studies,8
2015,Nanowire Synthesis and Applications,8
2015,Optical Wireless Communication Technologies,8
2015,PI3K/AKT/mTOR signaling in cancer,8
2015,Photonic and Optical Devices,8
2015,Plant biochemistry and biosynthesis,8
2015,Plant nutrient uptake and metabolism,8
2015,Privacy-Preserving Technologies in Data,8
2015,Protein Degradation and Inhibitors,8
2015,Protist diversity and phylogeny,8
2015,Psoriasis: Treatment and Pathogenesis,8
2015,Psychometric Methodologies and Testing,8
2015,Radical Photochemical Reactions,8
2015,Remote Sensing in Agriculture,8
2015,Salmonella and Campylobacter epidemiology,8
2015,Scientific Computing and Data Management,8
2015,Semiconductor materials and devices,8
2015,Service and Product Innovation,8
2015,Soil Geostatistics and Mapping,8
2015,Spectroscopy and Chemometric Analyses,8
2015,Statistical Methods and Inference,8
2015,Viral gastroenteritis research and epidemiology,8
2015,Wildlife Ecology and Conservation,8
2015,ZnO doping and properties,8
2015,Advanced Thermoelectric Materials and Devices,7
2015,Amyotrophic Lateral Sclerosis Research,7
2015,Bacterial biofilms and quorum sensing,7
2015,Breast Lesions and Carcinomas,7
2015,Cancer Mechanisms and Therapy,7
2015,Cancer Research and Treatments,7
2015,Cancer survivorship and care,7
2015,Cardiac pacing and defibrillation studies,7
2015,Catalysts for Methane Reforming,7
2015,Child Abuse and Trauma,7
2015,Childhood Cancer Survivors' Quality of Life,7
2015,Clay minerals and soil interactions,7
2015,Cold Atom Physics and Bose-Einstein Condensates,7
2015,Complex Systems and Decision Making,7
2015,Congenital Heart Disease Studies,7
2015,Cosmology and Gravitation Theories,7
2015,Cytokine Signaling Pathways and Interactions,7
2015,Dark Matter and Cosmic Phenomena,7
2015,Data Analysis with R,7
2015,Digital Games and Media,7
2015,Digital Platforms and Economics,7
2015,E-Government and Public Services,7
2015,Economic Growth and Productivity,7
2015,Economic and Environmental Valuation,7
2015,Energy Efficient Wireless Sensor Networks,7
2015,Environmental DNA in Biodiversity Studies,7
2015,Esophageal Cancer Research and Treatment,7
2015,Evolution and Genetic Dynamics,7
2015,Fatty Acid Research and Health,7
2015,Food Security and Health in Diverse Populations,7
2015,Galectins and Cancer Biology,7
2015,Gas Sensing Nanomaterials and Sensors,7
2015,Glycosylation and Glycoproteins Research,7
2015,HER2/EGFR in Cancer Research,7
2015,Head and Neck Cancer Studies,7
2015,"Health, psychology, and well-being",7
2015,Heart Rate Variability and Autonomic Control,7
2015,Heavy Metal Exposure and Toxicity,7
2015,Helicobacter pylori-related gastroenterology studies,7
2015,High-Energy Particle Collisions Research,7
2015,Innovative Teaching and Learning Methods,7
2015,Intensive Care Unit Cognitive Disorders,7
2015,Lymphoma Diagnosis and Treatment,7
2015,Malaria Research and Control,7
2015,Management and Organizational Studies,7
2015,Marine and fisheries research,7
2015,Membrane Separation and Gas Transport,7
2015,Mesenchymal stem cell research,7
2015,Methane Hydrates and Related Phenomena,7
2015,Microtubule and mitosis dynamics,7
2015,Mindfulness and Compassion Interventions,7
2015,Molecular spectroscopy and chirality,7
2015,Multilingual Education and Policy,7
2015,NF-κB Signaling Pathways,7
2015,Nanocomposite Films for Food Packaging,7
2015,Nanopore and Nanochannel Transport Studies,7
2015,Natural Fiber Reinforced Composites,7
2015,Neurological diseases and metabolism,7
2015,Neuroscience of respiration and sleep,7
2015,Obesity and Health Practices,7
2015,Online Learning and Analytics,7
2015,Pharmaceutical Practices and Patient Outcomes,7
2015,Pharmacogenetics and Drug Metabolism,7
2015,Physics of Superconductivity and Magnetism,7
2015,Plant Micronutrient Interactions and Effects,7
2015,Plant responses to water stress,7
2015,Posttraumatic Stress Disorder Research,7
2015,Remote-Sensing Image Classification,7
2015,Reproductive tract infections research,7
2015,Resilience and Mental Health,7
2015,Respiratory viral infections research,7
2015,Retinal Imaging and Analysis,7
2015,Sharing Economy and Platforms,7
2015,Sleep and Wakefulness Research,7
2015,Solar Thermal and Photovoltaic Systems,7
2015,Thermal Radiation and Cooling Technologies,7
2015,Thermochemical Biomass Conversion Processes,7
2015,Toxic Organic Pollutants Impact,7
2015,Treatment of Major Depression,7
2015,Viral Infections and Outbreaks Research,7
2015,Vitamin C and Antioxidants Research,7
2015,Zoonotic diseases and public health,7
2015,ATP Synthase and ATPases Research,6
2015,Acute Lymphoblastic Leukemia research,6
2015,Acute Myeloid Leukemia Research,6
2015,Advanced Data Storage Technologies,6
2015,Advanced Drug Delivery Systems,6
2015,Advanced Fluorescence Microscopy Techniques,6
2015,Advanced Glycation End Products research,6
2015,Advanced Image Fusion Techniques,6
2015,Advancements in Transdermal Drug Delivery,6
2015,Astrophysics and Cosmic Phenomena,6
2015,Atmospheric Ozone and Climate,6
2015,Atmospheric aerosols and clouds,6
2015,Autopsy Techniques and Outcomes,6
2015,Calcium signaling and nucleotide metabolism,6
2015,Cannabis and Cannabinoid Research,6
2015,Carbon Dioxide Capture Technologies,6
2015,Carbon Nanotubes in Composites,6
2015,Cardiac Arrhythmias and Treatments,6
2015,Cardiac Health and Mental Health,6
2015,"Cardiac, Anesthesia and Surgical Outcomes",6
2015,Cardiovascular and exercise physiology,6
2015,Cell Adhesion Molecules Research,6
2015,Cellular transport and secretion,6
2015,Child Nutrition and Feeding Issues,6
2015,Click Chemistry and Applications,6
2015,Cognitive Abilities and Testing,6
2015,Community Health and Development,6
2015,Congenital heart defects research,6
2015,Coral and Marine Ecosystems Studies,6
2015,DNA and Nucleic Acid Chemistry,6
2015,Dendrimers and Hyperbranched Polymers,6
2015,Dermatology and Skin Diseases,6
2015,Diabetes Management and Education,6
2015,Dialysis and Renal Disease Management,6
2015,Digital Economy and Work Transformation,6
2015,Digital Mental Health Interventions,6
2015,EFL/ESL Teaching and Learning,6
2015,Economic Policies and Impacts,6
2015,Eicosanoids and Hypertension Pharmacology,6
2015,Electrochemical sensors and biosensors,6
2015,Environmental remediation with nanomaterials,6
2015,Evolution and Paleontology Studies,6
2015,Exercise and Physiological Responses,6
2015,Family and Disability Support Research,6
2015,Food composition and properties,6
2015,Ga2O3 and related materials,6
2015,Gastric Cancer Management and Outcomes,6
2015,Genetic Neurodegenerative Diseases,6
2015,Global Health and Surgery,6
2015,Global trade and economics,6
2015,HIV-related health complications and treatments,6
2015,HIV/AIDS Research and Interventions,6
2015,Healthcare Policy and Management,6
2015,Heart Failure Treatment and Management,6
2015,Hemoglobinopathies and Related Disorders,6
2015,High-pressure geophysics and materials,6
2015,Human Mobility and Location-Based Analysis,6
2015,Hydrocarbon exploration and reservoir analysis,6
2015,Imbalanced Data Classification Techniques,6
2015,Immunodeficiency and Autoimmune Disorders,6
2015,Insect and Pesticide Research,6
2015,Insect symbiosis and bacterial influences,6
2015,Intracerebral and Subarachnoid Hemorrhage Research,6
2015,Islanding Detection in Power Systems,6
2015,Isotope Analysis in Ecology,6
2015,Marine Biology and Environmental Chemistry,6
2015,Marine animal studies overview,6
2015,Mechanical Circulatory Support Devices,6
2015,Mechanical and Optical Resonators,6
2015,Metabolism and Genetic Disorders,6
2015,Microbial Metabolites in Food Biotechnology,6
2015,Microfinance and Financial Inclusion,6
2015,"Migration, Health and Trauma",6
2015,Multi-Criteria Decision Making,6
2015,Neurobiology and Insect Physiology Research,6
2015,Olfactory and Sensory Function Studies,6
2015,Optical Network Technologies,6
2015,Optical properties and cooling technologies in crystalline materials,6
2015,Orbital Angular Momentum in Optics,6
2015,Osteoarthritis Treatment and Mechanisms,6
2015,Oxidative Organic Chemistry Reactions,6
2015,Photonic Crystals and Applications,6
2015,Plant Molecular Biology Research,6
2015,Primary Care and Health Outcomes,6
2015,Proteoglycans and glycosaminoglycans research,6
2015,Pulmonary Hypertension Research and Treatments,6
2015,Qualitative Comparative Analysis Research,6
2015,Radio Astronomy Observations and Technology,6
2015,Radiomics and Machine Learning in Medical Imaging,6
2015,Risk and Safety Analysis,6
2015,Robot Manipulation and Learning,6
2015,SARS-CoV-2 and COVID-19 Research,6
2015,Sentiment Analysis and Opinion Mining,6
2015,Smart Cities and Technologies,6
2015,Soft Robotics and Applications,6
2015,Speech Recognition and Synthesis,6
2015,Spondyloarthritis Studies and Treatments,6
2015,Streptococcal Infections and Treatments,6
2015,Suicide and Self-Harm Studies,6
2015,Sustainable Industrial Ecology,6
2015,Systemic Lupus Erythematosus Research,6
2015,Tactile and Sensory Interactions,6
2015,Teacher Education and Leadership Studies,6
2015,Thyroid Cancer Diagnosis and Treatment,6
2015,Thyroid Disorders and Treatments,6
2015,Transcranial Magnetic Stimulation Studies,6
2015,Tropical and Extratropical Cyclones Research,6
2015,Underwater Vehicles and Communication Systems,6
2015,Vaccine Coverage and Hesitancy,6
2015,Vibrio bacteria research studies,6
2015,Viral-associated cancers and disorders,6
2015,Virtual Reality Applications and Impacts,6
2015,Zeolite Catalysis and Synthesis,6
2015,3D Surveying and Cultural Heritage,5
