topic,publication_count,percentage
Machine Learning in Materials Science,347,0.69
COVID-19 epidemiological studies,345,0.69
Advanced biosensing and bioanalysis techniques,336,0.67
Radiomics and Machine Learning in Medical Imaging,335,0.67
RNA Interference and Gene Delivery,332,0.66
Ferroptosis and cancer prognosis,329,0.66
Chalcogenide Semiconductor Thin Films,329,0.66
MicroRNA in disease regulation,326,0.65
Genetic Associations and Epidemiology,323,0.65
Nanoparticles: synthesis and applications,319,0.64
Meta-analysis and systematic reviews,318,0.64
Diabetes Treatment and Management,314,0.63
Machine Learning in Healthcare,313,0.63
Advanced Memory and Neural Computing,309,0.62
Ammonia Synthesis and Nitrogen Reduction,306,0.61
Cancer Cells and Metastasis,302,0.6
Inflammasome and immune disorders,301,0.6
Extracellular vesicles in disease,301,0.6
Additive Manufacturing and 3D Printing Technologies,298,0.6
Microbial Community Ecology and Physiology,295,0.59
Digital Transformation in Industry,293,0.59
Hybrid Renewable Energy Systems,293,0.59
Nanoparticle-Based Drug Delivery,288,0.58
Explainable Artificial Intelligence (XAI),287,0.57
Graphene and Nanomaterials Applications,286,0.57
biodegradable polymer synthesis and properties,284,0.57
"Energy, Environment, Economic Growth",283,0.57
"Cancer, Hypoxia, and Metabolism",282,0.56
Blockchain Technology Applications and Security,282,0.56
Lung Cancer Treatments and Mutations,281,0.56
Natural Language Processing Techniques,280,0.56
Advanced Nanomaterials in Catalysis,280,0.56
IoT and Edge/Fog Computing,280,0.56
Tryptophan and brain disorders,277,0.55
AI in cancer detection,277,0.55
Cancer-related molecular mechanisms research,276,0.55
"Diabetes, Cardiovascular Risks, and Lipoproteins",273,0.55
Online Learning and Analytics,269,0.54
Video Surveillance and Tracking Methods,264,0.53
Electrochemical Analysis and Applications,264,0.53
Advanced Vision and Imaging,263,0.53
Climate variability and models,259,0.52
Sustainable Supply Chain Management,259,0.52
Protein Structure and Dynamics,257,0.51
Ethics and Social Impacts of AI,254,0.51
SARS-CoV-2 detection and testing,254,0.51
Human Pose and Action Recognition,247,0.49
"Health Systems, Economic Evaluations, Quality of Life",247,0.49
Gene expression and cancer classification,246,0.49
3D Printing in Biomedical Research,242,0.48
Advanced Image Processing Techniques,241,0.48
Environmental Sustainability in Business,240,0.48
Metabolomics and Mass Spectrometry Studies,238,0.48
Neural dynamics and brain function,237,0.47
Cell Image Analysis Techniques,234,0.47
Functional Brain Connectivity Studies,234,0.47
Air Quality and Health Impacts,229,0.46
Dementia and Cognitive Impairment Research,229,0.46
Antibiotic Resistance in Bacteria,229,0.46
Organic Electronics and Photovoltaics,226,0.45
Clostridium difficile and Clostridium perfringens research,225,0.45
Genomics and Chromatin Dynamics,224,0.45
Autophagy in Disease and Therapy,223,0.45
Soil Carbon and Nitrogen Dynamics,221,0.44
Pharmaceutical and Antibiotic Environmental Impacts,220,0.44
COVID-19 and healthcare impacts,220,0.44
Adversarial Robustness in Machine Learning,218,0.44
Topological Materials and Phenomena,215,0.43
Generative Adversarial Networks and Image Synthesis,214,0.43
AI in Service Interactions,214,0.43
Nanomaterials for catalytic reactions,211,0.42
Electrospun Nanofibers in Biomedical Applications,211,0.42
Atmospheric and Environmental Gas Dynamics,210,0.42
Mitochondrial Function and Pathology,203,0.41
Digital Marketing and Social Media,202,0.4
Pancreatic and Hepatic Oncology Research,201,0.4
Gas Sensing Nanomaterials and Sensors,201,0.4
Probiotics and Fermented Foods,200,0.4
Energy and Environment Impacts,200,0.4
Immune Response and Inflammation,198,0.4
T-cell and B-cell Immunology,198,0.4
Technology Adoption and User Behaviour,193,0.39
Mental Health Research Topics,193,0.39
"Cancer, Lipids, and Metabolism",192,0.38
Image Enhancement Techniques,191,0.38
Luminescence and Fluorescent Materials,191,0.38
Genomics and Rare Diseases,190,0.38
Hydrogen Storage and Materials,189,0.38
Global Cancer Incidence and Screening,189,0.38
Climate Change and Health Impacts,188,0.38
Metamaterials and Metasurfaces Applications,188,0.38
Advanced oxidation water treatment,187,0.37
Digital Mental Health Interventions,186,0.37
Plant Stress Responses and Tolerance,186,0.37
Nutritional Studies and Diet,185,0.37
Quantum Information and Cryptography,183,0.37
Cardiovascular Function and Risk Factors,181,0.36
"Obesity, Physical Activity, Diet",181,0.36
Advanced Antenna and Metasurface Technologies,179,0.36
Machine Learning and Data Classification,178,0.36
Health disparities and outcomes,177,0.35
Ionic liquids properties and applications,177,0.35
Atmospheric chemistry and aerosols,177,0.35
Robotics and Sensor-Based Localization,176,0.35
Land Use and Ecosystem Services,175,0.35
Extraction and Separation Processes,175,0.35
Climate Change Policy and Economics,174,0.35
"Metabolism, Diabetes, and Cancer",174,0.35
Species Distribution and Climate Change,173,0.35
Lung Cancer Diagnosis and Treatment,173,0.35
Privacy-Preserving Technologies in Data,173,0.35
Viral gastroenteritis research and epidemiology,172,0.34
interferon and immune responses,172,0.34
Misinformation and Its Impacts,170,0.34
Wound Healing and Treatments,169,0.34
Vaccine Coverage and Hesitancy,169,0.34
Copper-based nanomaterials and applications,167,0.33
Plant-Microbe Interactions and Immunity,167,0.33
Adsorption and biosorption for pollutant removal,167,0.33
Electromagnetic wave absorption materials,167,0.33
Animal Virus Infections Studies,166,0.33
Adipose Tissue and Metabolism,166,0.33
COVID-19 Pandemic Impacts,165,0.33
Phytochemicals and Antioxidant Activities,164,0.33
Virus-based gene therapy research,163,0.33
Remote-Sensing Image Classification,163,0.33
Big Data and Business Intelligence,162,0.32
"Energy, Environment, and Transportation Policies",162,0.32
Health Policy Implementation Science,162,0.32
Phagocytosis and Immune Regulation,161,0.32
"Galaxies: Formation, Evolution, Phenomena",160,0.32
Environmental Impact and Sustainability,159,0.32
Advanced Wireless Communication Technologies,158,0.32
Sepsis Diagnosis and Treatment,157,0.31
Remote Sensing in Agriculture,157,0.31
Bacteriophages and microbial interactions,156,0.31
Machine Learning in Bioinformatics,154,0.31
"Adipokines, Inflammation, and Metabolic Diseases",154,0.31
Network Security and Intrusion Detection,154,0.31
Metaheuristic Optimization Algorithms Research,154,0.31
Nutrition and Health in Aging,153,0.31
Genetic factors in colorectal cancer,153,0.31
Neuroscience and Neuropharmacology Research,152,0.3
Quantum Computing Algorithms and Architecture,152,0.3
Chromosomal and Genetic Variations,152,0.3
Membrane Separation Technologies,152,0.3
Colorectal Cancer Screening and Detection,151,0.3
Genetic Mapping and Diversity in Plants and Animals,149,0.3
Organic Light-Emitting Diodes Research,148,0.3
Neural Networks and Applications,148,0.3
Breast Cancer Treatment Studies,148,0.3
Advanced Graph Neural Networks,148,0.3
Pancreatic function and diabetes,147,0.29
Lung Cancer Research Studies,147,0.29
Corporate Social Responsibility Reporting,146,0.29
Gamma-ray bursts and supernovae,146,0.29
Mental Health Treatment and Access,146,0.29
Smart Agriculture and AI,146,0.29
Hepatocellular Carcinoma Treatment and Prognosis,146,0.29
HER2/EGFR in Cancer Research,145,0.29
Artificial Intelligence in Healthcare,145,0.29
Advanced Image Fusion Techniques,145,0.29
Colorectal Cancer Treatments and Studies,145,0.29
Acute Ischemic Stroke Management,144,0.29
Cosmology and Gravitation Theories,143,0.29
TiO2 Photocatalysis and Solar Cells,142,0.28
Parkinson's Disease Mechanisms and Treatments,141,0.28
Heavy metals in environment,141,0.28
Additive Manufacturing Materials and Processes,140,0.28
Child and Adolescent Psychosocial and Emotional Development,140,0.28
Circular RNAs in diseases,139,0.28
Monoclonal and Polyclonal Antibodies Research,139,0.28
Nanocluster Synthesis and Applications,138,0.28
Lipoproteins and Cardiovascular Health,137,0.27
Ubiquitin and proteasome pathways,137,0.27
EEG and Brain-Computer Interfaces,136,0.27
Antibiotic Use and Resistance,136,0.27
Ecology and Vegetation Dynamics Studies,136,0.27
Biosensors and Analytical Detection,135,0.27
Gold and Silver Nanoparticles Synthesis and Applications,135,0.27
Pulsars and Gravitational Waves Research,133,0.27
Advanced Breast Cancer Therapies,133,0.27
Bariatric Surgery and Outcomes,133,0.27
Glioma Diagnosis and Treatment,132,0.26
High Entropy Alloys Studies,132,0.26
Respiratory viral infections research,132,0.26
Heart Failure Treatment and Management,131,0.26
Advanced Materials and Mechanics,131,0.26
Diabetes and associated disorders,130,0.26
Gastric Cancer Management and Outcomes,130,0.26
"Diet, Metabolism, and Disease",129,0.26
Respiratory Support and Mechanisms,128,0.26
Immune responses and vaccinations,127,0.25
Atrial Fibrillation Management and Outcomes,126,0.25
Visual Attention and Saliency Detection,126,0.25
Carbon dioxide utilization in catalysis,126,0.25
Blood Pressure and Hypertension Studies,126,0.25
vaccines and immunoinformatics approaches,126,0.25
Healthcare professionals’ stress and burnout,125,0.25
Caching and Content Delivery,125,0.25
Cardiac Imaging and Diagnostics,125,0.25
Impact of Technology on Adolescents,125,0.25
Inflammatory Bowel Disease,123,0.25
Diabetes Management and Research,123,0.25
Liver Disease and Transplantation,123,0.25
Microbial Metabolic Engineering and Bioproduction,122,0.24
Astronomy and Astrophysical Research,122,0.24
Cancer-related gene regulation,122,0.24
Behavioral Health and Interventions,121,0.24
Gastrointestinal motility and disorders,121,0.24
Peptidase Inhibition and Analysis,121,0.24
"Genetics, Bioinformatics, and Biomedical Research",121,0.24
Advanced Multi-Objective Optimization Algorithms,121,0.24
Legume Nitrogen Fixing Symbiosis,121,0.24
Meteorological Phenomena and Simulations,121,0.24
Plant Water Relations and Carbon Dynamics,120,0.24
Prostate Cancer Diagnosis and Treatment,120,0.24
Neuroscience and Neural Engineering,120,0.24
Advanced Proteomics Techniques and Applications,120,0.24
Chronic Kidney Disease and Diabetes,120,0.24
Rheumatoid Arthritis Research and Therapies,119,0.24
Prostate Cancer Treatment and Research,119,0.24
Image and Signal Denoising Methods,118,0.24
3D Shape Modeling and Analysis,118,0.24
Bone Tissue Engineering Materials,118,0.24
"Neutrophil, Myeloperoxidase and Oxidative Mechanisms",117,0.23
Biomedical Text Mining and Ontologies,116,0.23
Global Public Health Policies and Epidemiology,116,0.23
Advanced Malware Detection Techniques,116,0.23
Electronic and Structural Properties of Oxides,116,0.23
Neural Networks and Reservoir Computing,116,0.23
Physical Activity and Health,115,0.23
Agriculture Sustainability and Environmental Impact,115,0.23
Ferroelectric and Negative Capacitance Devices,114,0.23
Plant and animal studies,114,0.23
"Cardiac, Anesthesia and Surgical Outcomes",114,0.23
Enzyme Structure and Function,113,0.23
Photonic and Optical Devices,113,0.23
"IL-33, ST2, and ILC Pathways",112,0.22
Mosquito-borne diseases and control,112,0.22
Sleep and related disorders,111,0.22
Social Media and Politics,111,0.22
Cancer Research and Treatments,111,0.22
Market Dynamics and Volatility,111,0.22
Esophageal Cancer Research and Treatment,110,0.22
Asthma and respiratory diseases,110,0.22
Helicobacter pylori-related gastroenterology studies,110,0.22
"Genetics, Aging, and Longevity in Model Organisms",109,0.22
"Hydrogels: synthesis, properties, applications",109,0.22
Delphi Technique in Research,109,0.22
Evolutionary Algorithms and Applications,109,0.22
Catalysis and Oxidation Reactions,108,0.22
Advanced Causal Inference Techniques,108,0.22
Genetic diversity and population structure,108,0.22
Endoplasmic Reticulum Stress and Disease,108,0.22
Energy Load and Power Forecasting,108,0.22
Catalytic C–H Functionalization Methods,108,0.22
Cancer-related Molecular Pathways,107,0.21
Radical Photochemical Reactions,107,0.21
Acute Myocardial Infarction Research,107,0.21
Intensive Care Unit Cognitive Disorders,106,0.21
Nanocomposite Films for Food Packaging,106,0.21
"Stellar, planetary, and galactic studies",106,0.21
Pluripotent Stem Cells Research,106,0.21
Protein Degradation and Inhibitors,106,0.21
Frailty in Older Adults,106,0.21
PARP inhibition in cancer therapy,106,0.21
Mobile Health and mHealth Applications,106,0.21
Urban Heat Island Mitigation,106,0.21
Solar-Powered Water Purification Methods,106,0.21
Model Reduction and Neural Networks,105,0.21
Viral Infections and Vectors,105,0.21
Face recognition and analysis,105,0.21
Electrochemical sensors and biosensors,104,0.21
Medical Image Segmentation Techniques,104,0.21
Brain Tumor Detection and Classification,103,0.21
Solid-state spectroscopy and crystallography,103,0.21
Computer Graphics and Visualization Techniques,102,0.2
Hydrology and Watershed Management Studies,102,0.2
Carbon Dioxide Capture Technologies,102,0.2
Oral microbiology and periodontitis research,102,0.2
Statistical Methods and Inference,102,0.2
Qualitative Research Methods and Applications,102,0.2
Innovation and Knowledge Management,100,0.2
Advanced Drug Delivery Systems,100,0.2
Biofuel production and bioconversion,100,0.2
COVID-19 Impact on Reproduction,100,0.2
Cardiovascular Health and Risk Factors,100,0.2
Supply Chain Resilience and Risk Management,100,0.2
Advanced Chemical Sensor Technologies,99,0.2
Innovative Microfluidic and Catalytic Techniques Innovation,99,0.2
Complex Network Analysis Techniques,99,0.2
"Birth, Development, and Health",99,0.2
Advanced Condensed Matter Physics,99,0.2
Quantum and electron transport phenomena,99,0.2
Stress Responses and Cortisol,99,0.2
Flood Risk Assessment and Management,98,0.2
Statistical Methods and Bayesian Inference,97,0.19
Recommender Systems and Techniques,97,0.19
Manufacturing Process and Optimization,97,0.19
Melanoma and MAPK Pathways,97,0.19
Drug Transport and Resistance Mechanisms,97,0.19
Time Series Analysis and Forecasting,97,0.19
Virtual Reality Applications and Impacts,97,0.19
Systemic Lupus Erythematosus Research,97,0.19
Face and Expression Recognition,97,0.19
Image Processing Techniques and Applications,96,0.19
Plant Virus Research Studies,96,0.19
Plant Molecular Biology Research,96,0.19
Carbon and Quantum Dots Applications,96,0.19
Atherosclerosis and Cardiovascular Diseases,96,0.19
Municipal Solid Waste Management,96,0.19
Neonatal Respiratory Health Research,95,0.19
Viral Infections and Outbreaks Research,95,0.19
Molecular Biology Techniques and Applications,95,0.19
BRCA gene mutations in cancer,95,0.19
Global Maternal and Child Health,94,0.19
Renal cell carcinoma treatment,94,0.19
Heavy Metal Exposure and Toxicity,93,0.19
Gene Regulatory Network Analysis,93,0.19
"Genomics, phytochemicals, and oxidative stress",92,0.18
Autism Spectrum Disorder Research,92,0.18
"Health, Environment, Cognitive Aging",92,0.18
Statistical Methods in Clinical Trials,92,0.18
Imbalanced Data Classification Techniques,91,0.18
Corporate Finance and Governance,91,0.18
Catalysts for Methane Reforming,91,0.18
Bacterial biofilms and quorum sensing,91,0.18
Machine Fault Diagnosis Techniques,91,0.18
Dietary Effects on Health,91,0.18
Neurogenesis and neuroplasticity mechanisms,91,0.18
Chronic Obstructive Pulmonary Disease (COPD) Research,91,0.18
Bladder and Urothelial Cancer Treatments,90,0.18
Photosynthetic Processes and Mechanisms,90,0.18
Essential Oils and Antimicrobial Activity,90,0.18
Electric Vehicles and Infrastructure,89,0.18
Effects and risks of endocrine disrupting chemicals,89,0.18
Sentiment Analysis and Opinion Mining,89,0.18
Astrophysical Phenomena and Observations,89,0.18
Consumer Behavior in Brand Consumption and Identification,89,0.18
Thermal Radiation and Cooling Technologies,89,0.18
Urban Green Space and Health,88,0.18
Quantum many-body systems,88,0.18
Genetic and phenotypic traits in livestock,88,0.18
"Telomeres, Telomerase, and Senescence",88,0.18
Tactile and Sensory Interactions,88,0.18
Photoreceptor and optogenetics research,87,0.17
Global Energy and Sustainability Research,87,0.17
Membrane Separation and Gas Transport,87,0.17
Advanced MIMO Systems Optimization,87,0.17
X-ray Diffraction in Crystallography,86,0.17
Venous Thromboembolism Diagnosis and Management,86,0.17
Financial Markets and Investment Strategies,86,0.17
Customer Service Quality and Loyalty,86,0.17
Dielectric materials and actuators,86,0.17
Environmental Education and Sustainability,86,0.17
Speech Recognition and Synthesis,86,0.17
Cardiovascular Disease and Adiposity,85,0.17
Qualitative Research Methods and Ethics,85,0.17
Cardiac Valve Diseases and Treatments,85,0.17
Semiconductor materials and devices,85,0.17
Advanced Thermoelectric Materials and Devices,84,0.17
Catalysis for Biomass Conversion,84,0.17
Dermatology and Skin Diseases,84,0.17
Evolution and Genetic Dynamics,84,0.17
Solar Thermal and Photovoltaic Systems,84,0.17
Scientific Computing and Data Management,83,0.17
Circadian rhythm and melatonin,83,0.17
"Conservation, Biodiversity, and Resource Management",83,0.17
High-Temperature Coating Behaviors,83,0.17
Stock Market Forecasting Methods,83,0.17
Infection Control and Ventilation,83,0.17
Microgrid Control and Optimization,83,0.17
Analytical Chemistry and Sensors,82,0.16
Astrophysics and Cosmic Phenomena,82,0.16
Alcohol Consumption and Health Effects,82,0.16
Cardiac Arrest and Resuscitation,82,0.16
Particle physics theoretical and experimental studies,82,0.16
Spectroscopy and Chemometric Analyses,81,0.16
Cancer Mechanisms and Therapy,81,0.16
Remote Sensing and LiDAR Applications,81,0.16
Mycorrhizal Fungi and Plant Interactions,81,0.16
Pregnancy and preeclampsia studies,80,0.16
Acute Myeloid Leukemia Research,80,0.16
Nanowire Synthesis and Applications,80,0.16
"FinTech, Crowdfunding, Digital Finance",80,0.16
Microbial Natural Products and Biosynthesis,80,0.16
Plasmonic and Surface Plasmon Research,80,0.16
Chronic Disease Management Strategies,79,0.16
Cytokine Signaling Pathways and Interactions,79,0.16
Trace Elements in Health,79,0.16
UAV Applications and Optimization,79,0.16
Fire effects on ecosystems,79,0.16
Energy Harvesting in Wireless Networks,79,0.16
Neurological disorders and treatments,79,0.16
Fault Detection and Control Systems,79,0.16
Cryospheric studies and observations,78,0.16
Infrastructure Maintenance and Monitoring,78,0.16
Climate change impacts on agriculture,78,0.16
Advanced Chemical Physics Studies,78,0.16
Advanced Neuroimaging Techniques and Applications,78,0.16
Bacterial Identification and Susceptibility Testing,78,0.16
Free Radicals and Antioxidants,78,0.16
Microscopic Colitis,78,0.16
ATP Synthase and ATPases Research,78,0.16
ZnO doping and properties,78,0.16
Reinforcement Learning in Robotics,77,0.15
Plant nutrient uptake and metabolism,77,0.15
Industrial Vision Systems and Defect Detection,77,0.15
Ferroelectric and Piezoelectric Materials,77,0.15
Advanced Text Analysis Techniques,77,0.15
Hepatitis B Virus Studies,77,0.15
Cervical Cancer and HPV Research,77,0.15
Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,76,0.15
RNA regulation and disease,76,0.15
"Healthcare cost, quality, practices",76,0.15
Tissue Engineering and Regenerative Medicine,76,0.15
Pharmacology and Obesity Treatment,76,0.15
Plant Parasitism and Resistance,76,0.15
Smart Grid Energy Management,76,0.15
Cryptography and Data Security,75,0.15
Antimicrobial Peptides and Activities,75,0.15
Child Nutrition and Water Access,75,0.15
Antioxidant Activity and Oxidative Stress,75,0.15
Traffic Prediction and Management Techniques,75,0.15
Cell death mechanisms and regulation,75,0.15
Ovarian cancer diagnosis and treatment,75,0.15
Cancer Risks and Factors,75,0.15
Viral Infections and Immunology Research,75,0.15
Colorectal Cancer Surgical Treatments,75,0.15
3D Surveying and Cultural Heritage,75,0.15
scientometrics and bibliometrics research,74,0.15
Retinal Diseases and Treatments,74,0.15
Cerebrovascular and Carotid Artery Diseases,74,0.15
Internet Traffic Analysis and Secure E-voting,74,0.15
Sleep and Wakefulness Research,74,0.15
Atmospheric Ozone and Climate,73,0.15
Genomic variations and chromosomal abnormalities,73,0.15
Osteoarthritis Treatment and Mechanisms,73,0.15
Chronic Lymphocytic Leukemia Research,73,0.15
Hyperglycemia and glycemic control in critically ill and hospitalized patients,73,0.15
Plant responses to elevated CO2,73,0.15
Retinal Imaging and Analysis,73,0.15
Music and Audio Processing,73,0.15
Employment and Welfare Studies,73,0.15
Mesenchymal stem cell research,73,0.15
Lymphoma Diagnosis and Treatment,73,0.15
Nosocomial Infections in ICU,72,0.14
Ethics in Clinical Research,72,0.14
Diabetic Foot Ulcer Assessment and Management,72,0.14
Dialysis and Renal Disease Management,72,0.14
Antenna Design and Analysis,72,0.14
Catalysis and Hydrodesulfurization Studies,72,0.14
Cholangiocarcinoma and Gallbladder Cancer Studies,71,0.14
Autonomous Vehicle Technology and Safety,71,0.14
Data Analysis with R,71,0.14
Dark Matter and Cosmic Phenomena,71,0.14
PI3K/AKT/mTOR signaling in cancer,71,0.14
Speech and Audio Processing,71,0.14
Thermal Expansion and Ionic Conductivity,71,0.14
Cutaneous Melanoma Detection and Management,71,0.14
Zoonotic diseases and public health,71,0.14
Multiple Myeloma Research and Treatments,70,0.14
Molecular Sensors and Ion Detection,70,0.14
Quantum Mechanics and Applications,70,0.14
Polymer composites and self-healing,70,0.14
Air Quality Monitoring and Forecasting,70,0.14
Global Health Care Issues,70,0.14
Food Security and Health in Diverse Populations,70,0.14
Thermal properties of materials,70,0.14
Concrete and Cement Materials Research,70,0.14
Psychological Well-being and Life Satisfaction,69,0.14
Multiple Sclerosis Research Studies,69,0.14
"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",69,0.14
Treatment of Major Depression,69,0.14
Evaluation and Performance Assessment,69,0.14
Memory and Neural Mechanisms,69,0.14
Mass Spectrometry Techniques and Applications,69,0.14
Thermochemical Biomass Conversion Processes,69,0.14
Cell Adhesion Molecules Research,69,0.14
Mechanical Circulatory Support Devices,69,0.14
Water-Energy-Food Nexus Studies,68,0.14
Marine and coastal ecosystems,68,0.14
Barrier Structure and Function Studies,68,0.14
Cardiac Health and Mental Health,68,0.14
Vitamin C and Antioxidants Research,68,0.14
Schizophrenia research and treatment,68,0.14
Coronary Interventions and Diagnostics,68,0.14
Chemistry and Chemical Engineering,68,0.14
Stroke Rehabilitation and Recovery,68,0.14
Neurological Disease Mechanisms and Treatments,67,0.13
Advanced Statistical Methods and Models,67,0.13
Advanced MRI Techniques and Applications,67,0.13
Advanced Electron Microscopy Techniques and Applications,67,0.13
Autoimmune and Inflammatory Disorders Research,67,0.13
Receptor Mechanisms and Signaling,67,0.13
Intracerebral and Subarachnoid Hemorrhage Research,67,0.13
Pneumonia and Respiratory Infections,67,0.13
Software Engineering Research,67,0.13
Innovations in Concrete and Construction Materials,66,0.13
Histone Deacetylase Inhibitors Research,66,0.13
Colorectal and Anal Carcinomas,66,0.13
Pancreatitis Pathology and Treatment,66,0.13
Pharmacological Receptor Mechanisms and Effects,65,0.13
Renal and related cancers,65,0.13
Integrated Energy Systems Optimization,65,0.13
Water Quality Monitoring and Analysis,65,0.13
Cellular Mechanics and Interactions,65,0.13
Membrane-based Ion Separation Techniques,65,0.13
Lignin and Wood Chemistry,64,0.13
Intelligent Tutoring Systems and Adaptive Learning,64,0.13
Monetary Policy and Economic Impact,64,0.13
Text and Document Classification Technologies,64,0.13
Spectroscopy and Quantum Chemical Studies,64,0.13
Endometrial and Cervical Cancer Treatments,64,0.13
Musculoskeletal pain and rehabilitation,64,0.13
Cardiac Arrhythmias and Treatments,64,0.13
Online and Blended Learning,64,0.13
Digital Media Forensic Detection,64,0.13
Quality and Supply Management,64,0.13
Context-Aware Activity Recognition Systems,64,0.13
DNA Repair Mechanisms,64,0.13
Advanced Cellulose Research Studies,64,0.13
Toxic Organic Pollutants Impact,64,0.13
Amyotrophic Lateral Sclerosis Research,63,0.13
Surface Modification and Superhydrophobicity,63,0.13
Micro and Nano Robotics,63,0.13
COVID-19 impact on air quality,63,0.13
Multiple and Secondary Primary Cancers,62,0.12
Building Energy and Comfort Optimization,62,0.12
Natural Antidiabetic Agents Studies,62,0.12
Brain Metastases and Treatment,62,0.12
Computational Physics and Python Applications,62,0.12
Acute Kidney Injury Research,62,0.12
Cancer Treatment and Pharmacology,62,0.12
Traumatic Brain Injury and Neurovascular Disturbances,62,0.12
Genetics and Neurodevelopmental Disorders,62,0.12
Cardiac pacing and defibrillation studies,61,0.12
Physics of Superconductivity and Magnetism,61,0.12
Educational Games and Gamification,61,0.12
Geophysics and Gravity Measurements,61,0.12
Clinical Reasoning and Diagnostic Skills,61,0.12
Human Mobility and Location-Based Analysis,61,0.12
Lipid Membrane Structure and Behavior,61,0.12
Machine Learning and ELM,61,0.12
Head and Neck Cancer Studies,61,0.12
Magnetic properties of thin films,61,0.12
Climate change and permafrost,61,0.12
Hydrology and Drought Analysis,61,0.12
Neural and Behavioral Psychology Studies,61,0.12
Luminescence Properties of Advanced Materials,61,0.12
Innovation and Socioeconomic Development,60,0.12
Hepatitis C virus research,60,0.12
Image Retrieval and Classification Techniques,60,0.12
Nematode management and characterization studies,60,0.12
Economic and Environmental Valuation,60,0.12
Cardiac Structural Anomalies and Repair,60,0.12
Cancer survivorship and care,60,0.12
Influenza Virus Research Studies,60,0.12
Reproductive System and Pregnancy,60,0.12
Environmental remediation with nanomaterials,59,0.12
Bone health and osteoporosis research,59,0.12
Psoriasis: Treatment and Pathogenesis,59,0.12
Data Stream Mining Techniques,59,0.12
Clinical practice guidelines implementation,59,0.12
Job Satisfaction and Organizational Behavior,59,0.12
Chemical Synthesis and Analysis,59,0.12
Child Development and Digital Technology,59,0.12
Magnetic and transport properties of perovskites and related materials,59,0.12
Aluminum Alloys Composites Properties,59,0.12
Liver physiology and pathology,58,0.12
Heme Oxygenase-1 and Carbon Monoxide,58,0.12
Water Treatment and Disinfection,58,0.12
Obesity and Health Practices,58,0.12
"Cancer, Stress, Anesthesia, and Immune Response",58,0.12
Electronic Health Records Systems,58,0.12
Gestational Diabetes Research and Management,58,0.12
Fiscal Policy and Economic Growth,58,0.12
Sulfur-Based Synthesis Techniques,58,0.12
Photodynamic Therapy Research Studies,58,0.12
Service and Product Innovation,57,0.11
Opioid Use Disorder Treatment,57,0.11
Metabolism and Genetic Disorders,57,0.11
Modular Robots and Swarm Intelligence,57,0.11
Food Waste Reduction and Sustainability,56,0.11
Geology and Paleoclimatology Research,56,0.11
Arctic and Antarctic ice dynamics,56,0.11
Forecasting Techniques and Applications,56,0.11
Robotic Path Planning Algorithms,56,0.11
Posttraumatic Stress Disorder Research,56,0.11
Remote Sensing and Land Use,56,0.11
Inflammatory Biomarkers in Disease Prognosis,55,0.11
