primary_topic,publication_count,percentage
Cardiac Valve Diseases and Treatments,52,0.1
Oral microbiology and periodontitis research,52,0.1
Hydrogen Storage and Materials,51,0.1
Systemic Lupus Erythematosus Research,51,0.1
Bacterial biofilms and quorum sensing,51,0.1
Osteoarthritis Treatment and Mechanisms,51,0.1
SARS-CoV-2 detection and testing,51,0.1
Natural Language Processing Techniques,50,0.1
Cell Image Analysis Techniques,50,0.1
Healthcare professionals’ stress and burnout,50,0.1
Chronic Kidney Disease and Diabetes,49,0.1
Carbon Dioxide Capture Technologies,49,0.1
Advanced Breast Cancer Therapies,49,0.1
Microgrid Control and Optimization,49,0.1
Gold and Silver Nanoparticles Synthesis and Applications,49,0.1
Prostate Cancer Diagnosis and Treatment,49,0.1
Multiple Sclerosis Research Studies,49,0.1
Market Dynamics and Volatility,49,0.1
UAV Applications and Optimization,49,0.1
Neural Networks and Reservoir Computing,49,0.1
Protein Degradation and Inhibitors,48,0.1
Plant Water Relations and Carbon Dynamics,48,0.1
Luminescence and Fluorescent Materials,48,0.1
"Neutrophil, Myeloperoxidase and Oxidative Mechanisms",48,0.1
Chronic Obstructive Pulmonary Disease (COPD) Research,48,0.1
Lung Cancer Diagnosis and Treatment,48,0.1
3D Shape Modeling and Analysis,48,0.1
Gastric Cancer Management and Outcomes,48,0.1
Colorectal Cancer Treatments and Studies,48,0.1
Respiratory Support and Mechanisms,48,0.1
Artificial Intelligence in Healthcare,48,0.1
Colorectal Cancer Screening and Detection,47,0.09
Energy Load and Power Forecasting,47,0.09
Cardiovascular Function and Risk Factors,47,0.09
Imbalanced Data Classification Techniques,47,0.09
Traffic Prediction and Management Techniques,47,0.09
Renal cell carcinoma treatment,47,0.09
"Adipokines, Inflammation, and Metabolic Diseases",47,0.09
RNA and protein synthesis mechanisms,46,0.09
Child and Adolescent Psychosocial and Emotional Development,46,0.09
Concrete and Cement Materials Research,45,0.09
Advanced Image Fusion Techniques,45,0.09
Multiple Myeloma Research and Treatments,45,0.09
Magnetic properties of thin films,45,0.09
Respiratory viral infections research,45,0.09
Antifungal resistance and susceptibility,45,0.09
Bone Tissue Engineering Materials,44,0.09
Catalytic C–H Functionalization Methods,44,0.09
Brain Tumor Detection and Classification,44,0.09
COVID-19 Pandemic Impacts,44,0.09
Organic Light-Emitting Diodes Research,43,0.09
Environmental Impact and Sustainability,43,0.09
Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,43,0.09
Esophageal Cancer Research and Treatment,43,0.09
Advanced Proteomics Techniques and Applications,43,0.09
Chromosomal and Genetic Variations,43,0.09
Sentiment Analysis and Opinion Mining,43,0.09
Reinforcement Learning in Robotics,43,0.09
scientometrics and bibliometrics research,42,0.08
Adipose Tissue and Metabolism,42,0.08
Qualitative Research Methods and Ethics,42,0.08
Visual Attention and Saliency Detection,42,0.08
"Genomics, phytochemicals, and oxidative stress",41,0.08
Virus-based gene therapy research,41,0.08
Catalysts for Methane Reforming,41,0.08
Thermal Radiation and Cooling Technologies,41,0.08
Urban Green Space and Health,40,0.08
Particle physics theoretical and experimental studies,40,0.08
Mental Health Treatment and Access,40,0.08
Fire effects on ecosystems,40,0.08
Time Series Analysis and Forecasting,40,0.08
Polymer composites and self-healing,40,0.08
Opioid Use Disorder Treatment,40,0.08
Rheumatoid Arthritis Research and Therapies,40,0.08
Endometrial and Cervical Cancer Treatments,39,0.08
Retinal Diseases and Treatments,39,0.08
Amyotrophic Lateral Sclerosis Research,39,0.08
Infection Control and Ventilation,39,0.08
Complex Network Analysis Techniques,39,0.08
Advanced Cellulose Research Studies,39,0.08
Probiotics and Fermented Foods,39,0.08
Advanced Materials and Mechanics,39,0.08
Global Public Health Policies and Epidemiology,39,0.08
Per- and polyfluoroalkyl substances research,39,0.08
Cervical Cancer and HPV Research,38,0.08
Plant and animal studies,38,0.08
Cardiac Arrest and Resuscitation,38,0.08
PI3K/AKT/mTOR signaling in cancer,38,0.08
Global Maternal and Child Health,38,0.08
Barrier Structure and Function Studies,38,0.08
Gamma-ray bursts and supernovae,38,0.08
Venous Thromboembolism Diagnosis and Management,37,0.07
Political Economy and Marxism,37,0.07
Smoking Behavior and Cessation,37,0.07
Customer Service Quality and Loyalty,37,0.07
Essential Oils and Antimicrobial Activity,37,0.07
Pregnancy and preeclampsia studies,37,0.07
Gas Sensing Nanomaterials and Sensors,37,0.07
"Genetics, Bioinformatics, and Biomedical Research",37,0.07
Head and Neck Cancer Studies,37,0.07
Drug Transport and Resistance Mechanisms,37,0.07
Schizophrenia research and treatment,36,0.07
Ecology and Vegetation Dynamics Studies,36,0.07
Cryospheric studies and observations,36,0.07
Asthma and respiratory diseases,36,0.07
Urban Heat Island Mitigation,36,0.07
Biofuel production and bioconversion,35,0.07
Musculoskeletal pain and rehabilitation,35,0.07
Acute Myocardial Infarction Research,35,0.07
Microbial Natural Products and Biosynthesis,35,0.07
Frailty in Older Adults,35,0.07
PARP inhibition in cancer therapy,35,0.07
Speech Recognition and Synthesis,34,0.07
Endoplasmic Reticulum Stress and Disease,34,0.07
Neuroscience and Neuropharmacology Research,34,0.07
Quantum Mechanics and Non-Hermitian Physics,34,0.07
Photonic and Optical Devices,34,0.07
Quantum many-body systems,34,0.07
Cardiovascular Health and Risk Factors,34,0.07
Advanced Chemical Physics Studies,34,0.07
Infrastructure Maintenance and Monitoring,34,0.07
Pluripotent Stem Cells Research,33,0.07
Diabetes and associated disorders,33,0.07
Global Energy and Sustainability Research,33,0.07
Cell death mechanisms and regulation,33,0.07
Phase Change Materials Research,33,0.07
Online and Blended Learning,33,0.07
Cutaneous Melanoma Detection and Management,33,0.07
Diabetes Management and Research,33,0.07
Financial Markets and Investment Strategies,33,0.07
Fuel Cells and Related Materials,33,0.07
COVID-19 Impact on Reproduction,33,0.07
Melanoma and MAPK Pathways,32,0.06
Thyroid Cancer Diagnosis and Treatment,32,0.06
Innovation and Knowledge Management,32,0.06
Cancer survivorship and care,32,0.06
Energy and Environment Impacts,32,0.06
Ferroelectric and Piezoelectric Materials,32,0.06
Surface Modification and Superhydrophobicity,32,0.06
Telemedicine and Telehealth Implementation,32,0.06
Antimicrobial Peptides and Activities,32,0.06
Flood Risk Assessment and Management,32,0.06
Bone health and osteoporosis research,32,0.06
Retinal Imaging and Analysis,32,0.06
Gene expression and cancer classification,31,0.06
Circadian rhythm and melatonin,31,0.06
Dermatology and Skin Diseases,31,0.06
Integrated Energy Systems Optimization,31,0.06
Scientific Computing and Data Management,31,0.06
"IL-33, ST2, and ILC Pathways",31,0.06
Advanced Electron Microscopy Techniques and Applications,31,0.06
Ionic liquids properties and applications,31,0.06
Atherosclerosis and Cardiovascular Diseases,31,0.06
Cytokine Signaling Pathways and Interactions,31,0.06
Ovarian cancer diagnosis and treatment,31,0.06
"Metabolism, Diabetes, and Cancer",31,0.06
Sustainable Development and Environmental Policy,30,0.06
Natural Fiber Reinforced Composites,30,0.06
Job Satisfaction and Organizational Behavior,30,0.06
Colorectal Cancer Surgical Treatments,30,0.06
Conducting polymers and applications,30,0.06
Data Analysis with R,30,0.06
Cardiac Imaging and Diagnostics,30,0.06
Mobile Health and mHealth Applications,30,0.06
Climate change impacts on agriculture,30,0.06
"Cardiac, Anesthesia and Surgical Outcomes",30,0.06
Mycorrhizal Fungi and Plant Interactions,29,0.06
Receptor Mechanisms and Signaling,29,0.06
Vitamin C and Antioxidants Research,29,0.06
Helicobacter pylori-related gastroenterology studies,29,0.06
Social Media and Politics,29,0.06
Lignin and Wood Chemistry,29,0.06
"Genetics, Aging, and Longevity in Model Organisms",29,0.06
Child Abuse and Trauma,29,0.06
Cellular Mechanics and Interactions,29,0.06
Quantum Dots Synthesis And Properties,29,0.06
Advanced Glycation End Products research,29,0.06
Mesenchymal stem cell research,29,0.06
Autonomous Vehicle Technology and Safety,29,0.06
Zoonotic diseases and public health,29,0.06
Cellular and Composite Structures,29,0.06
Poxvirus research and outbreaks,29,0.06
Behavioral Health and Interventions,28,0.06
"Conservation, Biodiversity, and Resource Management",28,0.06
Psoriasis: Treatment and Pathogenesis,28,0.06
Acute Kidney Injury Research,28,0.06
Machine Learning in Bioinformatics,28,0.06
Memory and Neural Mechanisms,28,0.06
Bariatric Surgery and Outcomes,28,0.06
Luminescence Properties of Advanced Materials,28,0.06
Innovative Microfluidic and Catalytic Techniques Innovation,28,0.06
Clostridium difficile and Clostridium perfringens research,28,0.06
Smart Cities and Technologies,28,0.06
Influenza Virus Research Studies,28,0.06
Multi-Criteria Decision Making,27,0.05
Educational Games and Gamification,27,0.05
Genetic factors in colorectal cancer,27,0.05
Neurogenesis and neuroplasticity mechanisms,27,0.05
Trace Elements in Health,27,0.05
Spectroscopy and Chemometric Analyses,27,0.05
Digital Economy and Work Transformation,27,0.05
Pulmonary Hypertension Research and Treatments,27,0.05
Cancer-related Molecular Pathways,27,0.05
Lung Cancer Research Studies,27,0.05
Micro and Nano Robotics,27,0.05
Dark Matter and Cosmic Phenomena,27,0.05
Legume Nitrogen Fixing Symbiosis,27,0.05
Genetic Mapping and Diversity in Plants and Animals,27,0.05
Electrochemical Analysis and Applications,27,0.05
Tuberculosis Research and Epidemiology,27,0.05
Statistical Methods in Clinical Trials,27,0.05
Algal biology and biofuel production,27,0.05
Advanced MIMO Systems Optimization,27,0.05
Climate Change Communication and Perception,27,0.05
Delphi Technique in Research,27,0.05
Advanced Drug Delivery Systems,27,0.05
Image and Signal Denoising Methods,27,0.05
Computer Graphics and Visualization Techniques,27,0.05
Statistical Methods and Inference,26,0.05
Cerebrospinal fluid and hydrocephalus,26,0.05
Suicide and Self-Harm Studies,26,0.05
Geology and Paleoclimatology Research,26,0.05
Stress Responses and Cortisol,26,0.05
Epilepsy research and treatment,26,0.05
Cholangiocarcinoma and Gallbladder Cancer Studies,26,0.05
Angiogenesis and VEGF in Cancer,26,0.05
Obstructive Sleep Apnea Research,26,0.05
Plant nutrient uptake and metabolism,26,0.05
Migraine and Headache Studies,26,0.05
Hydrology and Watershed Management Studies,26,0.05
Coral and Marine Ecosystems Studies,26,0.05
Monoclonal and Polyclonal Antibodies Research,26,0.05
"Cancer, Lipids, and Metabolism",26,0.05
Psychedelics and Drug Studies,26,0.05
Statistical Methods and Bayesian Inference,26,0.05
"Health, Environment, Cognitive Aging",26,0.05
Digital Media Forensic Detection,26,0.05
Computational Physics and Python Applications,26,0.05
Smart Grid Energy Management,25,0.05
Vitamin D Research Studies,25,0.05
Child Nutrition and Water Access,25,0.05
Eating Disorders and Behaviors,25,0.05
DNA Repair Mechanisms,25,0.05
Global trade and economics,25,0.05
Coronary Interventions and Diagnostics,25,0.05
Attention Deficit Hyperactivity Disorder,25,0.05
Microbial Metabolic Engineering and Bioproduction,25,0.05
Enzyme Structure and Function,25,0.05
Ovarian function and disorders,25,0.05
Nanomaterials for catalytic reactions,25,0.05
Pain Mechanisms and Treatments,25,0.05
Lymphoma Diagnosis and Treatment,25,0.05
Plant Molecular Biology Research,25,0.05
Heavy Metal Exposure and Toxicity,25,0.05
Stock Market Forecasting Methods,25,0.05
Forest Management and Policy,24,0.05
Pancreatic function and diabetes,24,0.05
Thermal properties of materials,24,0.05
Advanced Fiber Laser Technologies,24,0.05
Mindfulness and Compassion Interventions,24,0.05
Neonatal Respiratory Health Research,24,0.05
Chronic Disease Management Strategies,24,0.05
Free Radicals and Antioxidants,24,0.05
Intelligent Tutoring Systems and Adaptive Learning,24,0.05
Gestational Diabetes Research and Management,24,0.05
Enzyme Catalysis and Immobilization,24,0.05
Motivation and Self-Concept in Sports,24,0.05
Treatment of Major Depression,24,0.05
Ubiquitin and proteasome pathways,24,0.05
Emotion and Mood Recognition,24,0.05
Industrial Vision Systems and Defect Detection,24,0.05
Hydrological Forecasting Using AI,24,0.05
HIV/AIDS Research and Interventions,23,0.05
Posttraumatic Stress Disorder Research,23,0.05
Geophysics and Gravity Measurements,23,0.05
Entrepreneurship Studies and Influences,23,0.05
Chalcogenide Semiconductor Thin Films,23,0.05
Advanced Fluorescence Microscopy Techniques,23,0.05
Plant Gene Expression Analysis,23,0.05
Chemistry and Chemical Engineering,23,0.05
Social and Intergroup Psychology,23,0.05
Water-Energy-Food Nexus Studies,23,0.05
Psychometric Methodologies and Testing,23,0.05
Sirtuins and Resveratrol in Medicine,23,0.05
Electric Vehicles and Infrastructure,23,0.05
Liver Disease and Transplantation,23,0.05
Biosensors and Analytical Detection,23,0.05
Advanced Statistical Methods and Models,23,0.05
Dialysis and Renal Disease Management,23,0.05
Antiplatelet Therapy and Cardiovascular Diseases,23,0.05
"FinTech, Crowdfunding, Digital Finance",23,0.05
Corporate Finance and Governance,23,0.05
Mechanical Circulatory Support Devices,23,0.05
Electrospun Nanofibers in Biomedical Applications,23,0.05
Robotic Path Planning Algorithms,23,0.05
Intracerebral and Subarachnoid Hemorrhage Research,23,0.05
Dielectric materials and actuators,23,0.05
Vasculitis and related conditions,23,0.05
Psychotherapy Techniques and Applications,22,0.04
Meteorological Phenomena and Simulations,22,0.04
Phagocytosis and Immune Regulation,22,0.04
Food Security and Health in Diverse Populations,22,0.04
Evaluation and Performance Assessment,22,0.04
Recycling and Waste Management Techniques,22,0.04
"Income, Poverty, and Inequality",22,0.04
vaccines and immunoinformatics approaches,22,0.04
Immune responses and vaccinations,22,0.04
Spinal Cord Injury Research,22,0.04
Chronic Lymphocytic Leukemia Research,21,0.04
Immune Response and Inflammation,21,0.04
Millimeter-Wave Propagation and Modeling,21,0.04
TiO2 Photocatalysis and Solar Cells,21,0.04
Service and Product Innovation,21,0.04
Astrophysics and Cosmic Phenomena,21,0.04
Software Engineering Research,21,0.04
Peripheral Artery Disease Management,21,0.04
Plant responses to elevated CO2,21,0.04
Chemotherapy-induced cardiotoxicity and mitigation,21,0.04
"LGBTQ Health, Identity, and Policy",21,0.04
Cell Adhesion Molecules Research,21,0.04
Municipal Solid Waste Management,21,0.04
Cardiac Fibrosis and Remodeling,21,0.04
Microstructure and mechanical properties,21,0.04
Advanced Chemical Sensor Technologies,21,0.04
Building Energy and Comfort Optimization,20,0.04
Diverse Aspects of Tourism Research,20,0.04
Face and Expression Recognition,20,0.04
Iron Metabolism and Disorders,20,0.04
"Birth, Development, and Health",20,0.04
Cystic Fibrosis Research Advances,20,0.04
"Gout, Hyperuricemia, Uric Acid",20,0.04
Gastrointestinal motility and disorders,20,0.04
Hepatitis B Virus Studies,20,0.04
Monetary Policy and Economic Impact,20,0.04
Nerve injury and regeneration,20,0.04
Cannabis and Cannabinoid Research,20,0.04
Physics of Superconductivity and Magnetism,20,0.04
Biomedical Text Mining and Ontologies,20,0.04
Coastal wetland ecosystem dynamics,20,0.04
Image and Video Quality Assessment,20,0.04
Redox biology and oxidative stress,20,0.04
Molecular Sensors and Ion Detection,20,0.04
Environmental Education and Sustainability,20,0.04
Curcumin's Biomedical Applications,20,0.04
Maternal Mental Health During Pregnancy and Postpartum,20,0.04
Speech and Audio Processing,20,0.04
Economic Theory and Institutions,20,0.04
Consumer Attitudes and Food Labeling,20,0.04
Diabetic Foot Ulcer Assessment and Management,20,0.04
Wnt/β-catenin signaling in development and cancer,20,0.04
Air Quality Monitoring and Forecasting,20,0.04
Substance Abuse Treatment and Outcomes,19,0.04
Soft Robotics and Applications,19,0.04
Digital Platforms and Economics,19,0.04
Quantum Mechanics and Applications,19,0.04
Cardiomyopathy and Myosin Studies,19,0.04
Catalysis for Biomass Conversion,19,0.04
Forecasting Techniques and Applications,19,0.04
Handwritten Text Recognition Techniques,19,0.04
Economic Growth and Productivity,19,0.04
Electron and X-Ray Spectroscopy Techniques,19,0.04
Intensive Care Unit Cognitive Disorders,19,0.04
"Amyloidosis: Diagnosis, Treatment, Outcomes",19,0.04
Liver physiology and pathology,19,0.04
Nanocluster Synthesis and Applications,19,0.04
Magnesium Alloys: Properties and Applications,19,0.04
COVID-19 impact on air quality,19,0.04
Graphene and Nanomaterials Applications,18,0.04
Robot Manipulation and Learning,18,0.04
Click Chemistry and Applications,18,0.04
Hydrology and Drought Analysis,18,0.04
Methane Hydrates and Related Phenomena,18,0.04
Food composition and properties,18,0.04
Soil Geostatistics and Mapping,18,0.04
Environmental DNA in Biodiversity Studies,18,0.04
Sarcoma Diagnosis and Treatment,18,0.04
Sustainability and Climate Change Governance,18,0.04
Effects and risks of endocrine disrupting chemicals,18,0.04
Advanced Multi-Objective Optimization Algorithms,18,0.04
Smart Grid Security and Resilience,18,0.04
Spectroscopy and Quantum Chemical Studies,18,0.04
Evolution and Genetic Dynamics,18,0.04
Fatty Acid Research and Health,18,0.04
Advancements in Transdermal Drug Delivery,18,0.04
Hepatitis C virus research,18,0.04
Psychological Well-being and Life Satisfaction,18,0.04
Endometriosis Research and Treatment,18,0.04
Astrophysical Phenomena and Observations,18,0.04
Inflammatory Biomarkers in Disease Prognosis,18,0.04
Medical Image Segmentation Techniques,17,0.03
"Race, History, and American Society",17,0.03
Photosynthetic Processes and Mechanisms,17,0.03
Management and Organizational Studies,17,0.03
Teaching and Learning Programming,17,0.03
Animal testing and alternatives,17,0.03
Nitric Oxide and Endothelin Effects,17,0.03
Ecosystem dynamics and resilience,17,0.03
BRCA gene mutations in cancer,17,0.03
Indoor and Outdoor Localization Technologies,17,0.03
Advanced Neuroimaging Techniques and Applications,17,0.03
Crystallography and molecular interactions,17,0.03
Landslides and related hazards,17,0.03
Cardiac Health and Mental Health,17,0.03
Wastewater Treatment and Nitrogen Removal,17,0.03
Alcohol Consumption and Health Effects,17,0.03
Non-Invasive Vital Sign Monitoring,17,0.03
Education and Critical Thinking Development,17,0.03
Pharmacology and Obesity Treatment,17,0.03
Lipid Membrane Structure and Behavior,17,0.03
Racial and Ethnic Identity Research,17,0.03
Neurological disorders and treatments,17,0.03
Advanced Condensed Matter Physics,17,0.03
NF-κB Signaling Pathways,17,0.03
Pancreatitis Pathology and Treatment,17,0.03
BIM and Construction Integration,17,0.03
Pesticide and Herbicide Environmental Studies,17,0.03
Sports Performance and Training,17,0.03
Solar Radiation and Photovoltaics,17,0.03
Photoreceptor and optogenetics research,16,0.03
Glycosylation and Glycoproteins Research,16,0.03
Plasmonic and Surface Plasmon Research,16,0.03
Forensic and Genetic Research,16,0.03
Soil erosion and sediment transport,16,0.03
Distributed Control Multi-Agent Systems,16,0.03
Sharing Economy and Platforms,16,0.03
Marine and coastal ecosystems,16,0.03
Healthcare Policy and Management,16,0.03
Neural and Behavioral Psychology Studies,16,0.03
Magnetism in coordination complexes,16,0.03
Acute Lymphoblastic Leukemia research,16,0.03
Antimicrobial Resistance in Staphylococcus,16,0.03
Data Mining Algorithms and Applications,16,0.03
Maternal and Perinatal Health Interventions,16,0.03
Advancements in Solid Oxide Fuel Cells,16,0.03
Genetic diversity and population structure,16,0.03
Music and Audio Processing,16,0.03
Geochemistry and Geologic Mapping,16,0.03
Black Holes and Theoretical Physics,16,0.03
Innovations in Concrete and Construction Materials,16,0.03
Viral gastroenteritis research and epidemiology,16,0.03
